data;Hora Medicao;PRECIPITACAO TOTAL, HORARIO(mm);RADIACAO GLOBAL(Kj/m²);TEMPERATURA DO AR - BULBO SECO, HORARIA(°C);UMIDADE RELATIVA DO AR, HORARIA(%);VENTO, VELOCIDADE HORARIA(m/s)
01/01/2018;0;0;-3.5;30.3;31;.8
01/01/2018;100;0;-3.5;30.2;34;2
01/01/2018;200;0;-3.5;29.6;47;3.2
01/01/2018;300;0;-3.5;28.1;55;4
01/01/2018;400;0;-3.5;27.2;58;2.6
01/01/2018;500;0;-3.5;26.1;62;1.8
01/01/2018;600;0;-3.5;25.7;64;2
01/01/2018;700;0;-3.5;25.1;68;2.5
01/01/2018;800;0;-3.4;24.9;69;2.7
01/01/2018;900;0;18.1;24.5;73;2.8
01/01/2018;1000;0;507.3;25.9;68;1.7
01/01/2018;1100;0;1085.5;29.2;55;3.2
01/01/2018;1200;0;1709.2;30.9;47;3.8
01/01/2018;1300;0;1767.8;31.3;43;3.5
01/01/2018;1400;0;3134.4;34.6;33;4
01/01/2018;1500;0;3118.1;35.5;29;4.1
01/01/2018;1600;0;3157.2;35.6;28;3.4
01/01/2018;1700;0;2973.6;37.7;23;2.8
01/01/2018;1800;0;2268.4;36.6;24;null
01/01/2018;1900;0;1939.1;36.8;22;3.2
01/01/2018;2000;0;896.4;36;23;3.5
01/01/2018;2100;0;277.8;34.9;23;2.8
01/01/2018;2200;0;-3.3;33.8;24;2.1
01/01/2018;2300;0;-3.5;32.6;27;2.1
02/01/2018;0;0;-3.5;31.2;30;1.6
02/01/2018;100;0;-3.5;30.3;32;1.9
02/01/2018;200;0;-3.5;28.5;36;2
02/01/2018;300;0;-3.5;27.4;51;2.1
02/01/2018;400;0;-3.5;26.6;59;3.1
02/01/2018;500;0;-3.5;26;62;1.3
02/01/2018;600;0;-3.5;25.4;64;2
02/01/2018;700;0;-3.5;24.9;66;1.9
02/01/2018;800;0;-3.5;24.3;68;1
02/01/2018;900;0;13.7;24.2;70;.6
02/01/2018;1000;0;463.3;25.1;70;1.4
02/01/2018;1100;0;1178.4;27.5;56;1.7
02/01/2018;1200;0;2159.9;29.7;48;3.6
02/01/2018;1300;0;1962.2;30.4;45;3.5
02/01/2018;1400;0;2864.4;32;39;3.6
02/01/2018;1500;0;2335.1;31.8;39;4.4
02/01/2018;1600;0;1892;32.5;36;2.7
02/01/2018;1700;0;2338.3;34.4;31;2.7
02/01/2018;1800;0;2043.7;34.9;29;1.5
02/01/2018;1900;0;1295.7;34.5;28;1.7
02/01/2018;2000;0;982.9;34.9;25;2.9
02/01/2018;2100;0;180.4;33.9;28;2.8
02/01/2018;2200;0;-3.5;32.6;31;1.9
02/01/2018;2300;0;-3.5;31.5;33;1.5
03/01/2018;0;0;-3.5;30.3;36;2.3
03/01/2018;100;0;-3.5;29.1;49;3.3
03/01/2018;200;0;-3.5;28;53;2.8
03/01/2018;300;0;-3.5;27.1;56;2.4
03/01/2018;400;0;-3.5;25.8;63;3.4
03/01/2018;500;0;-3.5;25.2;67;1.9
03/01/2018;600;0;-3.5;24.5;75;3.1
03/01/2018;700;0;-3.1;24.3;77;2.4
03/01/2018;800;0;-3.5;23.9;79;1.6
03/01/2018;900;0;16.2;23.8;80;2.3
03/01/2018;1000;0;506;25.4;70;3.3
03/01/2018;1100;0;1257.4;27.1;62;2.5
03/01/2018;1200;0;1297.7;28.3;53;2.2
03/01/2018;1300;0;2034.7;31.2;44;1.9
03/01/2018;1400;0;2020.7;31.3;40;2.5
03/01/2018;1500;0;2089.4;33.6;34;1.8
03/01/2018;1600;0;2196.2;33.6;32;2.1
03/01/2018;1700;0;2372.8;36.4;27;1
03/01/2018;1800;.2;1581.9;33.3;36;4.3
03/01/2018;1900;0;1562.9;33.5;32;3.1
03/01/2018;2000;0;479.8;27.9;56;7.3
03/01/2018;2100;.4;48.7;28.8;48;1.3
03/01/2018;2200;0;-3.1;28;56;1.1
03/01/2018;2300;0;-3.5;28.4;50;.9
04/01/2018;0;0;-3.5;28;55;2.4
04/01/2018;100;0;-3.5;28.3;54;2.8
