data;volume;Hora Medicao;PRECIPITACAO TOTAL, HORARIO(mm);RADIACAO GLOBAL(Kj/m²);TEMPERATURA DO AR - BULBO SECO, HORARIA(°C);UMIDADE RELATIVA DO AR, HORARIA(%);VENTO, VELOCIDADE HORARIA(m/s);variacao_volume
2021-09-01;48.19;300;0.0;0.0;27.6;56.0;2.0;0.0
2021-09-01;48.19;400;0.0;0.0;26.8;62.0;1.9;0.0
2021-09-01;48.19;500;0.0;0.0;25.9;66.0;1.8;0.0
2021-09-01;48.19;700;0.0;0.0;24.6;70.0;1.3;0.0
2021-09-01;48.19;800;0.0;0.0;23.9;72.0;1.7;0.0
2021-09-01;48.19;900;0.0;21.7;23.8;75.0;1.4;0.0
2021-09-01;48.19;1000;0.0;360.2;25.9;69.0;3.4;0.0
2021-09-01;48.19;1700;0.0;2431.0;33.8;37.0;3.6;0.0
2021-09-01;48.19;600;0.0;0.0;25.2;69.0;1.1;0.0
2021-09-01;48.19;1300;0.0;2913.4;31.7;46.0;4.2;0.0
2021-09-01;48.19;1400;0.0;3463.6;32.7;44.0;3.9;0.0
2021-09-01;48.19;1500;0.0;3476.6;32.7;44.0;3.6;0.0
2021-09-01;48.19;1600;0.0;3099.6;35.2;39.0;3.0;0.0
2021-09-01;48.19;1800;0.0;2209.0;35.6;33.0;3.9;0.0
2021-09-01;48.19;1900;0.0;1445.3;35.0;35.0;3.3;0.0
2021-09-01;48.19;2000;0.0;647.2;34.2;37.0;3.1;0.0
2021-09-01;48.19;2100;0.0;170.8;32.9;37.0;3.0;0.0
2021-09-01;48.19;2200;0.0;0.0;31.6;40.0;1.6;0.0
2021-09-01;48.19;2300;0.0;0.0;30.3;43.0;1.1;0.0
2021-09-01;48.19;1200;0.0;1968.3;28.9;55.0;5.3;0.0
2021-09-02;48.06;900;0.0;1.8;22.9;94.0;0.7;-0.12999999999999545
2021-09-02;48.06;800;0.0;0.0;22.1;95.0;0.2;0.0
2021-09-02;48.06;700;0.0;0.0;21.9;95.0;1.1;0.0
2021-09-02;48.06;600;0.0;0.0;22.0;94.0;0.6;0.0
2021-09-02;48.06;400;1.4;0.0;21.6;95.0;0.9;0.0
2021-09-02;48.06;1100;0.0;209.0;23.6;91.0;1.6;0.0
2021-09-02;48.06;200;1.2;0.0;21.9;94.0;2.4;0.0
2021-09-02;48.06;100;0.8;0.3;22.4;93.0;2.7;0.0
2021-09-02;48.06;0;1.8;0.3;24.0;91.0;1.2;0.0
2021-09-02;48.06;1000;0.0;83.6;23.1;92.0;0.9;0.0
2021-09-02;48.06;300;1.2;0.0;21.7;93.0;1.3;0.0
2021-09-02;48.06;500;0.0;0.0;21.7;95.0;0.8;0.0
2021-09-02;48.06;2300;0.0;0.0;25.4;87.0;0.9;0.0
2021-09-02;48.06;1900;0.0;1084.9;27.1;77.0;1.0;0.0
2021-09-02;48.06;1300;0.0;450.3;24.7;90.0;1.0;0.0
2021-09-02;48.06;2200;0.0;0.4;25.8;82.0;1.0;0.0
2021-09-02;48.06;2100;0.0;73.8;26.5;73.0;0.8;0.0
2021-09-02;48.06;2000;0.0;489.6;26.8;71.0;1.1;0.0
2021-09-02;48.06;1800;0.0;1084.9;27.1;77.0;1.0;0.0
2021-09-02;48.06;1700;0.0;842.7;26.3;81.0;2.0;0.0
2021-09-02;48.06;1600;0.0;841.6;26.5;80.0;0.9;0.0
2021-09-02;48.06;1500;0.0;993.8;26.8;80.0;1.2;0.0
2021-09-02;48.06;1400;0.0;772.8;26.2;83.0;1.0;0.0
2021-09-02;48.06;1200;0.0;312.5;24.2;90.0;1.0;0.0
2021-09-03;47.92;100;0.0;0.0;23.9;86.0;2.3;-0.14000000000000057
2021-09-03;47.92;200;0.0;0.0;23.5;88.0;1.9;0.0
2021-09-03;47.92;300;0.0;0.0;23.1;90.0;2.2;0.0
2021-09-03;47.92;400;0.0;0.0;23.0;92.0;0.7;0.0
2021-09-03;47.92;0;0.0;0.0;24.4;82.0;2.1;0.0
2021-09-03;47.92;1100;0.0;827.7;25.1;84.0;1.3;0.0
2021-09-03;47.92;700;0.0;0.8;23.1;94.0;1.1;0.0
2021-09-03;47.92;800;0.0;0.1;23.1;94.0;1.5;0.0
2021-09-03;47.92;900;0.0;3.3;23.1;94.0;0.8;0.0
2021-09-03;47.92;1000;0.0;225.0;24.1;89.0;0.6;0.0
2021-09-03;47.92;600;0.0;0.0;22.9;94.0;1.2;0.0
2021-09-03;47.92;500;0.0;0.0;22.8;92.0;1.0;0.0
2021-09-03;47.92;2300;0.0;0.0;26.5;68.0;1.5;0.0
2021-09-03;47.92;1900;0.0;1553.1;32.1;48.0;2.7;0.0
2021-09-03;47.92;1500;0.0;2971.3;30.7;56.0;3.5;0.0
2021-09-03;47.92;1600;0.0;3890.7;32.4;48.0;3.1;0.0
2021-09-03;47.92;1700;0.0;3175.4;32.7;45.0;3.5;0.0
2021-09-03;47.92;1800;0.0;2857.3;32.8;46.0;3.3;0.0
2021-09-03;47.92;1400;0.0;1961.9;29.2;61.0;2.5;0.0
2021-09-03;47.92;2000;0.0;835.6;31.1;50.0;2.8;0.0
2021-09-03;47.92;2100;0.0;137.2;29.4;58.0;1.9;0.0
2021-09-03;47.92;2200;0.0;0.1;27.7;64.0;1.4;0.0
2021-09-03;47.92;1300;0.0;2628.9;29.1;67.0;2.3;0.0
2021-09-03;47.92;1200;0.0;1769.0;27.6;72.0;2.6;0.0
2021-09-04;47.79;1100;0.0;1366.6;27.4;71.0;1.6;-0.13000000000000256
